Rubric,Organization_name
Языковые школы|Центры раннего развития детей|Компьютерные курсы|Помощь в обучении|Курсы робототехники,"Гарантия Знаний, обучающий центр по робототехнике, программированию и химии"
Языковые школы|Перевод с иностранных языков|Обучение за рубежом|Помощь в обучении|Детские / подростковые клубы,"London Express, лингвистическая школа"
Школы искусств,Детская школа искусств №11
Чай / Кофе|Кондитерские изделия|Сувенирные композиции,"Кантата, сеть галерей чая, кофе и эксклюзивных подарков"
Чай / Кофе|Кондитерские изделия,"Кантата, сеть галерей чая, кофе и эксклюзивных подарковМагазин чая, кофе и шоколада"
Центры раннего развития детей|Обучение танцам|Театральные курсы|Организация и проведение праздников,"Династия, детский развивающий центр"
Центры раннего развития детей|Детские / подростковые клубы|Спортивные секции|Помощь в обучении|Театральные курсы,"Level, центр интеллектуального и творческого развития"
Центры раннего развития детей|Детские / подростковые клубы|Помощь в обучении|Компьютерные курсы|Курсы робототехники,"АкадемКлуб, детско-юношеский центр"
Хлебобулочные изделия|Религиозные товары,"Пять хлебов, магазин"
Хлебобулочные изделия|Кондитерские изделия,"SeDelice, сеть французских пекаренБуханка, сеть пекарен"
Хлебобулочные изделия|Быстрое питание,Магазин выпечки
Хлебобулочные изделия,"Каравай СВ, сеть булочныхКаравай СВ, сеть булочныхКаравай СВ, сеть булочныхКаравай СВ, сеть булочныхКаравай СВ, сеть булочныхКиоск хлебобулочных изделий, ИП Чекмаев С.И.Магазин-пекарняПечоринъ, магазин хлебобулочных изделийЧайная"
Точки безалкогольных напитков|Быстрое питание|Кондитерские изделия,"Cofix, сеть кофеен фиксированных цен"
Торговые центры / Универсальные магазины|Бизнес-центры,"Тёплый Стан, торгово-офисный центр"
Торговые центры / Универсальные магазины,"Konkovo MarketГалантерея, универсальный магазинГалеон, торговый центрКоньково Пассаж, торговый комплекс, ООО ТК КоньковоКоньково Пассаж, торговый комплекс, ООО ТК КоньковоКрокус, универмагКЭМП, торговый центрЛабиринт, торговый центрТвинПлаза, торговый центрТоргсин-Маркет, ООО, торговый домТропарёво, торговый центрФестивальный, торговый центрЭлектромир, центр электроникиЭТАЖИ, торговый центрЯсенево, торговый дом"
Торгово-развлекательные центры / Моллы,"FORT Ясенево, торгово-развлекательный центрКалита, торгово-развлекательный центрПринц Плаза, торгово-развлекательный центрСПЕКТР, торгово-развлекательный центр"
Театральные курсы|Творческие коллективы|Детские / подростковые клубы,"Дети Райка, сеть театральных студий"
Сыры|Жир / Маслопродукты,"Свежие продукты, компания"
Сыры,"Магазин сыров, ИП Дюряев Ю.Н."
Супермаркеты|Кулинарии,"EUROSPAR, сеть супермаркетовEUROSPAR, сеть супермаркетовПерекресток, сеть супермаркетовПерекресток, сеть супермаркетовПерекресток, сеть супермаркетов"
Супермаркеты|Аксессуары к мобильным телефонам,"Инесса, ООО, мини-маркет"
